"","Year","Population (1000 persons)","Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Major livestock density in agricultural areas (LSU/ha)","Total Emissions of CO2eq (gigagrams)","Emissions of CO2eq from Agriculture (gigagrams)","Emissions of CO2eq from Energy Production (gigagrams)","Emissions of CO2eq from Land Use Sources (gigagrams)","Emissions of CO2eq from Forests (gigagrams)","Emissions of CO2eq from Waste (gigagrams)","Emissions of CO2eq from Other Sources (gigagrams)","Emissions of CO2eq from Transportation (gigagrams)","Use of Nitrogen per area of cropland (kg/ha)","Use of Phosphate per area of cropland (kg/ha)","Use of Potash per area of cropland (kg/ha)","Use of Pesticides per area of cropland (kg/ha)","Food supply (kcal/capita/day)","Industrial Production (% Relative to 2015)","Average Annual Precipitation (mm/year)","Total Renewable Water Resources (10^9 m^3/year)","Total Renewable Water Resources Per Capita (m^3/capita/year)","Built-up Land (Eco. Footprint, gha)","Carbon (Eco. Footprint, gha)","Cropland (Eco. Footprint, gha)","Fishing Grounds (Eco. Footprint, gha)","Forest Products (Eco. Footprint, gha)","Grazing Land (Eco. Footprint, gha)","Total (Eco. Footprint, gha)","Built-up Land (Biocapacity, gha)","Carbon (Biocapacity, gha)","Cropland (Biocapacity, gha)","Fishing Grounds (Biocapacity, gha)","Forest Products (Biocapacity, gha)","Grazing Land (Biocapacity, gha)","Total (Biocapacity, gha)","Birth Rate, Crude (annually per 1000 people)","Death Rate, Crude (annually per 1000 people)"
"11",1971,3775790.9,0,163.92,0,0,0,0,0,0,0,0,0,0,0,0,412008,0,0,0,0,131482106.133327,5486586774.35048,1976019565.00488,401900271.488309,1541577422.91752,881037347.100983,10418603486.9955,131482106.133327,0,1976019565.00488,1101849529.96366,5414882487.52823,1473247774.254,10097481462.8841,31.6290516118582,11.7338981686924
"12",1972,3851545.181,0,165.25,0,0,0,0,0,0,0,0,0,0,0,0,409946,0,0,0,0,130726968.056835,5768285993.29686,1923703061.53518,420657098.67544,1542751996.00735,907225880.868451,10693350998.4401,130726968.056835,0,1923703061.53518,1105634710.75216,5407913762.41903,1484320339.08815,10052298841.8513,31.1311892842575,11.6394144518453
"13",1973,3927538.695,0,165.41,0,0,0,0,0,0,0,0,0,0,0,0,413074,0,0,0,0,140160856.919132,6159740267.05154,2033229794.77122,433818617.319489,1595527480.86975,898505466.830322,11260982483.7615,140160856.919132,0,2033229794.77122,1098862525.71311,5407979020.77818,1481515962.47295,10161748160.6546,30.5112501391426,11.3967216471512
"14",1974,4003448.151,0,168.59,0,0,0,0,0,0,0,0,0,0,0,0,414351,0,0,0,0,139610485.328479,6062531955.18355,1986994437.07659,446193208.210503,1594920724.77947,924102596.690367,11154353407.2689,139610485.328479,0,1986994437.07659,1102633773.38485,5392552609.81309,1490693441.08713,10112484746.6901,29.6640534322496,11.2882721794614
"15",1975,4079087.198,0,172.74,0,0,0,0,0,0,0,0,0,0,0,0,414291,43.29906,0,0,0,142846610.530277,5993348862.45635,1994851587.24964,424091448.870287,1557499071.50019,965895359.810552,11078532940.4173,142846610.530277,0,1994851587.24964,1102078604.29012,5386110949.72415,1492797852.06189,10118685603.8561,29.0370315800119,11.1442889644307
"16",1976,4154287.594,0,177.14,0,0,0,0,0,0,0,0,0,0,0,0,418326,46.66024,0,0,0,152416204.673553,6378359263.56063,2094140355.76802,433739511.925948,1620934013.4106,958308544.681532,11637897894.0203,152416204.673553,0,2094140355.76802,1100691623.5566,5369005448.24411,1489357645.38526,10205611277.6275,28.199532600851,10.9879993999164
"17",1977,4229201.257,0,190,0,0,0,0,0,0,0,0,0,0,0,0,420380,48.78952,0,0,0,155226038.898306,6600920144.627,2090976826.70267,419889608.067361,1630595900.42356,965457453.074817,11863065971.7937,155226038.898306,0,2090976826.70267,1105691824.26625,5359406435.52283,1497225053.31318,10208526178.7032,27.8701898906382,10.7239689048789
"18",1978,4304377.112,0,191.43,0,0,0,0,0,0,0,0,0,0,0,0,425462,50.776,38668,36125,45255,168933923.096683,6733800959.8974,2244632808.07685,419081722.028769,1663327399.84495,963438558.724013,12193215371.6687,168933923.096683,0,2244632808.07685,1107339592.76372,5342893736.39612,1498904992.11765,10362705052.451,27.5947981168305,10.4733493581652
"19",1979,4380585.755,0,196.57,0,0,0,0,0,0,0,0,0,0,0,0,428520,53.05653,38668,36125,45255,169275996.982871,7006661663.82565,2215528612.66716,421140941.913418,1701135164.50329,986838583.569802,12500580963.4622,169275996.982871,0,2215528612.66716,1109307997.64618,5332179131.19292,1504999221.47439,10331290959.9635,27.4513482503159,10.3068318221509
"20",1980,4458411.534,0,196.68,0,0,0,0,0,0,0,0,0,0,0,0,431940,53.04444,38668,36125,45255,169868476.753113,6798693504.48033,2187092126.29136,427906518.457678,1692622564.36579,1000495759.59763,12276678949.9459,169868476.753113,0,2187092126.29136,1109249443.60831,5357210441.70022,1509775622.27671,10333196110.6297,27.4541473443566,10.2692596512285
"21",1981,4537845.777,0,195.15,0,0,0,0,0,0,0,0,0,0,0,0,433021,53.32489,38668,36125,45255,179925533.296039,6546024320.7837,2272721803.4692,438074134.127083,1677154679.95199,1007331897.3095,12121232368.9375,179925533.296039,0,2272721803.4692,1111375380.50582,5353220029.99324,1514401859.18255,10431644606.4469,27.9195766695048,10.1126514954853
"22",1982,4618776.168,0,197.83,0,0,0,0,0,0,0,0,0,0,0,0,434019,51.99063,38668,36125,45255,191389512.213719,6382178850.07966,2398058963.39689,441955448.410027,1666102435.46223,1004206535.32932,12083891744.8919,191389512.213719,0,2398058963.39689,1105343847.50171,5337833536.1827,1508423157.75334,10541049017.0484,28.1162738477108,10.0286812029224
"23",1983,4701530.843,0,202.18,0,0,0,0,0,0,0,0,0,0,0,0,434543,52.82177,44267,41132,52206,190346215.066741,6333725360.61728,2348055623.71982,441216693.429374,1727252382.63905,1009833770.73144,12050430046.2037,190346215.066741,0,2348055623.71983,1102592550.41931,5333508464.99316,1506979032.41271,10481481886.6117,27.5091685725507,10.0273623089283
"24",1984,4786483.862,0,200.51,0,0,0,0,0,0,0,0,0,0,0,0,435999,56.24927,44267,41132,52206,206710104.507202,6581600931.51265,2534707131.83233,450253137.120303,1781120336.3575,1006316967.37792,12560708608.7079,206710104.507202,0,2534707131.83233,1095516266.45278,5327998147.95081,1502534543.36096,10667466194.1041,27.2418533487832,9.90393724397908
"25",1985,4873781.796,0,203.49,0,0,0,0,0,0,0,0,0,0,0,0,438254,58.08231,44267,41132,52206,212693957.062296,6701604862.31338,2588898284.43745,455844750.00004,1781770333.71815,993552760.803217,12734364948.3346,212693957.062296,0,2588898284.43745,1089776344.00258,5318892654.13958,1501595881.50915,10711857121.1511,27.2718686567765,9.79253781293972
"26",1986,4963633.228,0,199.65,0,0,0,0,0,0,0,0,0,0,0,0,439337,58.61581,44267,41132,52206,218056553.520493,6845996330.10058,2624289845.4809,476237626.924649,1829643124.62202,984235799.480272,12978459280.1289,218056553.520493,0,2624289845.4809,1082232744.61539,5334997004.64569,1498218606.57811,10757794754.8406,27.3475765355348,9.65135321988911
"27",1987,5055636.132,0,210.21,0,0,0,0,0,0,0,0,0,0,0,0,440857,60.79366,44267,41132,52206,222615544.305064,7095696551.34833,2640385663.25511,498837384.842148,1871026627.0509,988635471.745229,13317197242.5468,222615544.305064,0,2640385663.25511,1080964327.72374,5331098235.88334,1501402165.2735,10776465936.4408,27.2884403249346,9.51724510950423
"28",1988,5148556.956,0,196.01,0,0,0,0,0,0,0,0,0,0,0,0,442480,64.07247,53058,49137,59567,220413529.301969,7411835813.23773,2571981949.42704,516470647.827017,1891973667.17411,994381286.380487,13607056893.3484,220413529.301969,0,2571981949.42704,1078843550.36521,5331909940.01991,1506589000.70449,10709737969.8186,26.8005452507179,9.41241585985138
"29",1989,5240735.117,0,222.89,0,0,0,0,0,0,0,0,0,0,0,0,442251,66.17206,53058,49137,59567,236062172.974613,7587393423.39345,2712625699.21645,514862491.167509,1915732925.22749,1003538814.46952,13970215526.449,236062172.974613,0,2712625699.21645,1077686379.46721,5332565062.66135,1510023833.8301,10868963148.1497,26.2804762386192,9.28540812920127
"30",1990,5330943.46,0,217.03,222213902.8334,27730837.3799,134400884.5285,39788552.0729,-15915957.0263,7137898.5902,1508960.7935,24153756.6496,0,0,0,452.45,441561,67.74451,53058,49137,59567,250461472.312332,7650951101.32335,2838094204.96529,506473028.182202,1922476360.3499,1021812579.12699,14190268746.26,250461472.312332,0,2838094204.96529,1079759224.37542,5340815959.06534,1518042039.00077,11027172899.7191,25.8817587575222,9.2394099777976
"31",1991,5418758.803,0,233.66,222460263.3026,27604974.4365,134575158.377,39852810.608,-15980412.4683,7196562.4399,1575198.2891,24393864.5399,0,0,0,446.9,440297,67.48501,53058,49137,59567,247240217.053371,7744756051.79144,2763145224.79225,501695149.651744,1838465082.06892,1043136437.59797,14138438162.9557,247240217.053371,0,2763145224.79225,1078129983.32846,5336262485.58167,1518324997.83484,10943102908.5906,25.2135097331143,9.17527676282314
"32",1992,5504401.149,329735.3878,228.43,223370648.8606,27626960.6587,134836837.8484,39982656.809,-16155901.7238,7281150.2724,1726054.8738,24932107.0869,0,0,0,461.24,479838,67.47961,53058,49137,59567,256111378.395497,7804983497.97673,2818376018.50095,510580439.994561,1806644357.43287,1049022329.64384,14245718021.9445,256111378.395497,0,2818376018.50095,1100593484.34359,5397120010.60274,1551287367.07839,11123488258.9212,24.5778226922932,9.08786288030981
"33",1993,5588094.837,329731.8557,215.95,224891211.0638,27520606.6902,136537886.9843,40068232.8463,-16252009.2884,7359072.611,1455311.8599,25305018.0063,0,0,0,468.5,481872,67.27579,57433,52371,64668,256599386.027634,7820659963.19744,2783671189.73587,516322898.619918,1778774214.8251,1047498742.52921,14203526394.9352,256599386.027634,0,2783671189.73587,1100756270.03965,5386262013.83871,1545087840.3006,11072376699.9425,24.1749425405009,9.10383523396075
"34",1994,5670319.703,329590.9201,224.23,226499555.0487,27733842.0212,137251485.7705,40136333.5303,-16320048.9126,7438960.5307,1585200.0158,25840248.3918,0,0,0,480.74,484343,70.31886,57433,52371,64668,266691300.552971,7902375764.40247,2852788056.2863,542757795.35262,1778695542.32116,1063183816.61554,14406492275.5311,266691300.552971,0,2852788056.2863,1098794947.47688,5384827397.61965,1552344697.83016,11155446399.766,23.7945177675735,9.01166341929842
"35",1995,5751474.416,329583.0381,230.16,231181186.3307,28048280.2599,140794824.6496,40206330.9905,-16389985.5384,7494908.9702,1452303.7785,26497204.4995,0,0,0,482.38,486661,72.92273,57433,52371,64668,266785868.69375,8132490071.50065,2814866662.38696,566692460.129995,1809284073.0084,1061249084.15865,14651368219.8784,266785868.69375,0,2814866662.38696,1095603370.23321,5375126917.68092,1550550513.25099,11102933332.2458,23.3558613850027,8.95100014058677
"36",1996,5831565.02,329614.0296,235.3,234986306.3136,28178619.0182,145002344.1904,39820836.3736,-16461912.7032,7555640.3172,1447591.2168,27146372.7862,0,0,0,473.39,489091,75.05047,57433,52371,64668,286482339.051807,8341292999.14042,2968234081.88019,577227310.036174,1791484051.94665,1048291298.08494,15013012080.1402,286482339.051807,0,2968234081.88019,1094139886.00275,5379464838.75299,1556556055.49194,11284877201.1797,23.064564896469,8.83872535782711
"37",1997,5910566.295,352603.8033,234.2,241372358.9731,28115016.2263,145623094.8607,44656463.1479,-16535930.2118,7572391.419,2102720.4166,27662876.0952,0,0,0,483.24,491192,79.06399,57433,52371,64668,293209631.350597,8484453214.16277,3009301013.16454,580137466.099459,1834733973.50351,1042458114.11972,15244293412.4006,293209631.350597,0,3009301013.16454,1093723129.25394,5367454782.29655,1562727812.54518,11326416368.6108,22.732437207664,8.73186019275432
"38",1998,5988846.103,352620.4396,234.3,239590869.5151,28386636.3682,146748271.8444,42113756.0657,-16612144.6509,7606046.7995,1612293.0023,28484368.1593,0,0,0,500.56,493799,80.84127,67873,61721,76034,303103630.464721,8486662340.21036,3077319777.11535,581496894.557173,1816339965.47463,1051151443.91564,15316074051.7379,303103630.464721,0,3077319777.11535,1093754667.60761,5359207854.1959,1568029485.19677,11401415414.5804,22.3180114686628,8.64296716944536
"39",1999,6066867.391,352611.1448,249.01,238628178.2827,28687159.1689,147293804.7789,40141636.5456,-16690669.9407,7668221.6331,1429648.1263,29191556.5072,0,0,0,511.59,496586,83.14774,67873,61721,76034,310788779.890345,8459015639.55406,3119586270.78002,583488545.706258,1852047716.90882,1054726595.64851,15379653548.488,310788779.890345,0,3119586270.78002,1093792299.69056,5345171111.21138,1569000342.17183,11438338803.7441,21.8914706783354,8.60224098404408
"40",2000,6145006.989,352628.7515,222.8,241200443.7196,28604419.3762,150589162.3121,39248943.4402,-16771426.9031,7748005.7525,1382835.3776,29603443.6325,0,0,0,527.28,502487,87.55285,67873,61721,76034,314143721.3532,8733531310.83614,3106743394.97117,579162443.555478,1916634869.9332,1065277271.34445,15715493011.9936,314143721.3532,0,3106743394.97117,1095822860.81977,5333975601.6642,1574448215.33994,11425133794.1483,21.6307375554933,8.52889934872679
"41",2001,6223412.158,352596.6037,225.75,238236551.3905,28749442.7007,151293157.1667,35116726.4861,-11868875.4945,7820105.4274,1440515.0088,29878421.6795,0,0,0,494.88,505635,85.76604,67873,61721,76034,324423890.736656,8882622256.3462,3165886330.28989,584436079.244017,1853400980.38437,1068303104.9867,15879072641.9878,324423890.736656,0,3165886330.28989,1097614724.96264,5322818939.63364,1576403019.06589,11487146904.6887,21.287222559594,8.45343731313117
"42",2002,6302149.639,352582.0556,264.05,245797334.5611,28797372.2375,154533901.2668,38592866.3524,-11871434.7964,7942734.4147,1569362.0951,30768645.9987,8856.2,3332.07,3181.2,511.65,508781,86.10944,67873,61721,76034,327270244.479024,9007052987.37017,3146595579.07364,585840504.248786,1893099499.47437,1073369748.18563,16033228562.8317,327270244.479024,0,3146595579.07364,1097776577.26106,5324336965.49981,1572664088.97656,11468643455.2901,21.0418901207776,8.39594195878803
"43",2003,6381408.987,352565.364,304.58,252320973.9781,28990345.5316,161341212.7629,37240277.3894,-11874378.6659,8078509.8163,1459201.851,31340077.5163,9521.63,3710.42,3192.3,520.37,510586,87.63734,63632,58283,72558,331785859.065375,9518863698.41753,3166476126.57181,601992294.849961,1923505037.48072,1072056975.34851,16614679991.7339,331785859.065375,0,3166476126.57181,1092744799.10113,5297585497.22644,1556114397.61096,11444706679.5757,20.8242398836143,8.36652392023663
"44",2004,6461370.865,352517.9543,306.17,262401917.7782,29587100.3542,168841912.4812,38075583.0683,-11877747.7995,8182066.6341,1498391.102,32202256.5426,9608.77,3531.96,3594.83,533.82,514097,90.70302,63632,58283,72558,359806805.758613,10104856635.5459,3404249741.90215,621734712.816345,1959747972.92583,1072493771.09168,17522889640.0404,359806805.758613,0,3404249741.90215,1090798534.6707,5285466625.25613,1555559625.68834,11695881333.2759,20.6769900135015,8.23282786039123
"45",2005,6542159.383,352512.9347,313.97,267807701.6925,29943189.5326,173358897.6203,37669909.8862,-11881588.3769,8272518.0913,1530957.6242,32697058.0091,9642.04,3579.38,3388.38,551.54,516741,93.19245,63632,58283,72558,356496103.664372,10551060420.1939,3347532422.64911,618160321.089588,1988176164.35179,1067503899.97981,17928929331.9287,356496103.664372,0,3347532422.64911,1085679754.29871,5272242119.38719,1545275297.79316,11607225697.7925,20.550944105899,8.20924817969623
"46",2006,6623847.913,352509.2165,325.97,273743503.2043,30242426.7801,178571732.693,36600468.7584,-15543104.6574,8414248.0049,1781790.3803,33254382.2999,9637.12,3576.46,3508.25,549.23,522659,96.80938,63632,58283,72558,365677010.913776,11006365776.6309,3368491229.98629,625682169.601462,1960632835.15845,1075756928.29186,18402605950.5827,365677010.913776,0,3368491229.98629,1083712987.44755,5278386704.17339,1539698693.18939,11635966625.7104,20.4101958309509,8.14108813620531
"47",2007,6706418.593,352500.0401,323.82,279321268.0782,30830219.5665,184173184.3977,34888919.5464,-15544678.709,8495473.6135,1778361.6514,34008429.5254,9768.46,3721.05,3719.34,570.81,525986,100.1584,63632,58283,72558,375480244.018593,11449953093.7979,3420517450.19441,616465617.833059,1978864831.10912,1074469777.36215,18915751014.3152,375480244.018593,0,3420517450.19441,1082486637.18366,5263380578.03855,1536251481.50466,11678116390.9399,20.330001626176,8.07809051455753
"48",2008,6789771.253,352455.851,344.68,283790009.3316,31014632.482,188077969.9524,35176800.1717,-15546115.6095,8580211.8144,1554984.1957,32882290.7933,9962.14,3218.48,3450.84,572.1,527631,98.16775,59895,54796,66089,397169650.693597,11609063970.6238,3582822518.25136,609590605.755953,1886853248.72666,1071733378.4074,19157233372.4587,397169650.693597,0,3582822518.25136,1093397180.3282,5251672709.59547,1537319365.70578,11862381424.5744,20.235020508764,8.03573796311068
"49",2009,6873741.054,352451.4254,348.79,282787707.1024,31060026.924,185596696.841,35785967.3525,-15547396.0914,8636696.7546,1680716.3,32582373.3662,9865.34,2894.2,2572.83,545.3,529217,86.24918,59895,54796,66089,400565359.219113,11364892517.8336,3566679058.22381,606433769.760398,1807032011.3372,1071527133.63658,18817129850.0107,400565359.219113,0,3566679058.22381,1098347239.63914,5224795640.61216,1523358863.418,11813746161.1122,20.0588729309058,7.93115293685002
"50",2010,6958169.159,352456.9219,349.46,291178187.1025,31416214.6883,193106237.3393,34466314.8523,-15548495.9712,8735419.2128,1683902.3572,33224685.4008,10027.95,3528.62,3194.39,614.54,531412,92.9954,59895,54796,66089,408232338.389233,12187572167.8581,3588303978.93359,609137437.171555,1928990264.96841,1047861743.96941,19770097931.2904,408232338.389233,0,3588303978.93359,1095178416.10134,5224932179.94727,1517794955.93175,11834441869.3032,19.8539850836097,7.87690849755518
"51",2011,7043008.586,352465.3884,354.69,0,0,0,0,0,0,0,0,10453.83,3635.5,3447.37,594.03,530877,95.77739,59895,54796,66089,420874953.579251,12466296392.1879,3685523694.68516,610394863.870688,1971855244.03167,1034330270.00535,20189275418.36,420874953.579251,0,3685523694.68516,1089420805.99075,5213756884.56156,1508794205.6861,11918370544.5028,19.6863593994019,7.80357177369769
"52",2012,7128176.935,352474.4511,360.03,0,0,0,0,0,0,0,0,11288.99,3736.94,3473.51,628.3,532230,96.5162,59895,54796,66089,421287241.442017,12378269857.4575,3670973940.32424,622971238.564308,1979023145.3542,1044644340.57444,20117169763.7167,421287241.442017,0,3670973940.32424,1088353607.64821,5192842339.40608,1505295436.60304,11878752565.4236,19.5829952696945,7.7628074792598
"53",2013,7213426.452,352486.9337,374.27,0,0,0,0,0,0,0,0,11498.53,3926.23,4142.38,633.42,534474,97.19031,52658,48110,58708,446930469.362482,12571603880.8053,3856839430.38396,649457848.6871,2003676511.89414,1042702751.15138,20571210892.2844,446930469.362482,0,3856839430.38396,1092616020.96672,5173014981.97598,1508391407.67467,12077792310.3638,19.3813589201862,7.70784293766998
"54",2014,7298453.033,352445.7202,378.04,0,0,0,0,0,0,0,0,11597.01,3983.24,3868.55,670.61,0,99.42679,52658,48110,58708,459085716.869444,12471685124.6806,3937894021.68895,676220855.407457,2018268555.14522,1048667658.13521,20611821931.9269,459085716.869444,0,3937894021.68895,1095687741.21475,5151611867.30799,1514984748.38173,12159264095.4629,19.3001803747972,7.65706014010267
"55",2015,7383008.82,352445.5185,382.74,0,0,0,0,0,0,0,0,11698.75,4013.99,3800.17,666.37,0,100,52658,48110,58708,464321398.727745,12356910169.6487,3962162983.41758,669911668.938549,2001968736.52697,1048845812.6651,20504120769.9246,464321398.727745,0,3962162983.41758,1099186031.57278,5121114509.8693,1501563724.27389,12148348647.8613,19.0785327820167,7.65957997536066
"56",2016,7466964.28,0,385.68,0,0,0,0,0,0,0,0,11662.56,4045.22,3801.58,671.68,0,100.3387,52658,48110,58708,472616344.302205,12292369219.014,3984702393.57994,670103874.247626,2042179332.59917,1046937122.37779,20508908286.1208,472616344.302205,0,3984702393.57994,1095444659.98531,5111762779.19387,1504757188.91034,12169283365.9717,18.8861289369294,7.64862649146419
