,0
391,-9866.76658868609
392,206567293.32962966
393,206567293.32962966
394,203460745.5293644
395,1001205823.4018555
396,459149704.7046509
397,-2.133994189299999e+17
398,-1.6863134981073635e+17
399,-3.867830982685218e+19
400,1986.0
401,4963633.228
402,60.717191845973176
403,120867450.5990698
404,22831280.339132745
405,1720930.136632618
406,-16.0
407,-9850.321073945914
408,213271811.9585725
409,213271811.9585725
410,210745513.75149053
411,1002934912.4013672
412,467106532.04486084
413,-2.2134076577390835e+17
414,-1.7490755601987597e+17
415,-4.011766648108196e+19
416,1987.0
417,5055636.132
418,62.33940644065946
419,123518364.06341515
420,23311300.98887999
421,1720931.7589640026
422,-16.0
423,-9833.787411172729
424,220306613.98532647
425,220306613.98532647
426,218349986.17197448
427,1005518212.7416992
428,476288526.71629333
429,-2.2962259438368928e+17
430,-1.814528673859672e+17
431,-4.161873492110419e+19
432,1988.0
433,5148556.956
434,63.977805994254794
435,126195725.8938598
436,23796110.8413117
437,1720933.3974815113
438,-16.0
439,-9817.391416291644
440,227585935.15750903
441,227585935.15750903
442,226179526.8829409
443,1009180285.8422852
444,486467214.1685333
445,-2.3814144189153e+17
446,-1.8818551569862234e+17
447,-4.316276266447732e+19
448,1989.0
449,5240735.117
450,65.6031107573038
451,128851689.1025156
452,24277045.885880787
453,1720935.0229032869
454,-16.0
455,-9801.416269221747
456,234980179.82704228
457,234980179.82704228
458,234094636.2566616
459,1013912264.2163086
460,497261416.2145233
461,-2.4674550478082752e+17
462,-1.949855270625576e+17
463,-4.472223556202086e+19
464,1990.0
465,5330943.46
466,67.19368327420028
467,131450895.22165053
468,24747703.501421727
469,1720936.6135903157
470,-16.0
471,-9786.052255681376
472,242383333.1512456
473,242383333.1512456
474,241983457.5691585
475,1019509076.1801758
476,508271999.61968994
477,-2.5531352872200397e+17
478,-2.0175707041634038e+17
479,-4.627517645676623e+19
480,1991.0
481,5418758.802999999
482,68.74206191072659
483,133981150.95286965
484,25205875.756556597
